序号,全称,级别,类型,级别标签,类型标签,组合标签,细分标签,上级,省,地理大区,备注
767,伊春市大箐山县政协,县级,县,县级,县,"县级政协,县政协",,伊春市,黑龙江省,东北,
768,伊春市南岔县政协,县级,县,县级,县,"县级政协,县政协",,伊春市,黑龙江省,东北,
769,伊春市金林区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,伊春市,黑龙江省,东北,
770,伊春市铁力市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,伊春市,黑龙江省,东北,
771,佳木斯市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,佳木斯市,黑龙江省,东北,
772,佳木斯市向阳区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,佳木斯市,黑龙江省,东北,
773,佳木斯市前进区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,佳木斯市,黑龙江省,东北,
774,佳木斯市东风区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,佳木斯市,黑龙江省,东北,
775,佳木斯市郊区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,佳木斯市,黑龙江省,东北,
776,佳木斯市桦南县政协,县级,县,县级,县,"县级政协,县政协",,佳木斯市,黑龙江省,东北,
777,佳木斯市桦川县政协,县级,县,县级,县,"县级政协,县政协",,佳木斯市,黑龙江省,东北,
778,佳木斯市汤原县政协,县级,县,县级,县,"县级政协,县政协",,佳木斯市,黑龙江省,东北,
779,佳木斯市同江市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,佳木斯市,黑龙江省,东北,
780,佳木斯市富锦市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,佳木斯市,黑龙江省,东北,
781,佳木斯市抚远市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,佳木斯市,黑龙江省,东北,
782,七台河市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,七台河市,黑龙江省,东北,
783,七台河市新兴区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,七台河市,黑龙江省,东北,
784,七台河市桃山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,七台河市,黑龙江省,东北,
785,七台河市茄子河区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,七台河市,黑龙江省,东北,
786,七台河市勃利县政协,县级,县,县级,县,"县级政协,县政协",,七台河市,黑龙江省,东北,
787,牡丹江市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,牡丹江市,黑龙江省,东北,
788,牡丹江市东安区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,牡丹江市,黑龙江省,东北,
789,牡丹江市阳明区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,牡丹江市,黑龙江省,东北,
790,牡丹江市爱民区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,牡丹江市,黑龙江省,东北,
791,牡丹江市西安区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,牡丹江市,黑龙江省,东北,
792,牡丹江市林口县政协,县级,县,县级,县,"县级政协,县政协",,牡丹江市,黑龙江省,东北,
793,牡丹江市绥芬河市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,牡丹江市,黑龙江省,东北,
794,牡丹江市海林市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,牡丹江市,黑龙江省,东北,
795,牡丹江市宁安市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,牡丹江市,黑龙江省,东北,
796,牡丹江市穆棱市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,牡丹江市,黑龙江省,东北,
797,牡丹江市东宁市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,牡丹江市,黑龙江省,东北,
798,黑河市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,黑河市,黑龙江省,东北,
799,黑河市爱辉区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,黑河市,黑龙江省,东北,
800,黑河市逊克县政协,县级,县,县级,县,"县级政协,县政协",,黑河市,黑龙江省,东北,
801,黑河市孙吴县政协,县级,县,县级,县,"县级政协,县政协",,黑河市,黑龙江省,东北,
802,黑河市北安市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,黑河市,黑龙江省,东北,
803,黑河市五大连池市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,黑河市,黑龙江省,东北,
804,黑河市嫩江市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,黑河市,黑龙江省,东北,
805,绥化市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,绥化市,黑龙江省,东北,
806,绥化市北林区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,绥化市,黑龙江省,东北,
807,绥化市望奎县政协,县级,县,县级,县,"县级政协,县政协",,绥化市,黑龙江省,东北,
808,绥化市兰西县政协,县级,县,县级,县,"县级政协,县政协",,绥化市,黑龙江省,东北,
809,绥化市青冈县政协,县级,县,县级,县,"县级政协,县政协",,绥化市,黑龙江省,东北,
810,绥化市庆安县政协,县级,县,县级,县,"县级政协,县政协",,绥化市,黑龙江省,东北,
811,绥化市明水县政协,县级,县,县级,县,"县级政协,县政协",,绥化市,黑龙江省,东北,
812,绥化市绥棱县政协,县级,县,县级,县,"县级政协,县政协",,绥化市,黑龙江省,东北,
813,绥化市安达市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,绥化市,黑龙江省,东北,
814,绥化市肇东市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,绥化市,黑龙江省,东北,
815,绥化市海伦市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,绥化市,黑龙江省,东北,
816,大兴安岭地区政协,地级,地区,地级,地区,"地级政协,地区政协",,大兴安岭地区,黑龙江省,东北,
817,大兴安岭地区漠河市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,大兴安岭地区,黑龙江省,东北,
818,大兴安岭地区呼玛县政协,县级,县,县级,县,"县级政协,县政协",,大兴安岭地区,黑龙江省,东北,
819,大兴安岭地区塔河县政协,县级,县,县级,县,"县级政协,县政协",,大兴安岭地区,黑龙江省,东北,
820,大兴安岭地区加格达奇区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,大兴安岭地区,黑龙江省,东北,
821,大兴安岭地区松岭区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,大兴安岭地区,黑龙江省,东北,
822,大兴安岭地区新林区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,大兴安岭地区,黑龙江省,东北,
823,大兴安岭地区呼中区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,大兴安岭地区,黑龙江省,东北,
824,上海市政协,省级,直辖市,省级,直辖市,"省级政协,直辖市政协",,,上海市,华东,
825,上海市黄浦区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
826,上海市徐汇区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
827,上海市长宁区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
828,上海市静安区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
829,上海市普陀区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
830,上海市虹口区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
831,上海市杨浦区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
832,上海市闵行区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
833,上海市宝山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
834,上海市嘉定区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
835,上海市浦东新区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,疑似功能区（含「新区」），通常无独立政协委员会，请核实
836,上海市金山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
837,上海市松江区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
838,上海市青浦区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
839,上海市奉贤区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
840,上海市崇明区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,上海市,上海市,华东,
841,江苏省政协,省级,省,省级,省,"省级政协,省政协",,,江苏省,华东,
842,南京市政协,副省级,地级市,副省级,地级市,"副省级政协,地级市政协",省会城市、省会城市政协,南京市,江苏省,华东,
843,南京市玄武区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
844,南京市秦淮区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
845,南京市建邺区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
846,南京市鼓楼区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
847,南京市浦口区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
848,南京市栖霞区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
849,南京市雨花台区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
850,南京市江宁区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
851,南京市六合区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
852,南京市溧水区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
853,南京市高淳区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南京市,江苏省,华东,
854,无锡市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,无锡市,江苏省,华东,
855,无锡市锡山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,无锡市,江苏省,华东,
856,无锡市惠山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,无锡市,江苏省,华东,
857,无锡市滨湖区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,无锡市,江苏省,华东,
858,无锡市梁溪区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,无锡市,江苏省,华东,
859,无锡市新吴区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,无锡市,江苏省,华东,
860,无锡市江阴市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,无锡市,江苏省,华东,
861,无锡市宜兴市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,无锡市,江苏省,华东,
862,徐州市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,徐州市,江苏省,华东,
863,徐州市鼓楼区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,徐州市,江苏省,华东,
864,徐州市云龙区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,徐州市,江苏省,华东,
865,徐州市贾汪区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,徐州市,江苏省,华东,
866,徐州市泉山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,徐州市,江苏省,华东,
867,徐州市铜山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,徐州市,江苏省,华东,
868,徐州市丰县政协,县级,县,县级,县,"县级政协,县政协",,徐州市,江苏省,华东,
869,徐州市沛县政协,县级,县,县级,县,"县级政协,县政协",,徐州市,江苏省,华东,
870,徐州市睢宁县政协,县级,县,县级,县,"县级政协,县政协",,徐州市,江苏省,华东,
871,徐州市徐州经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,徐州市,江苏省,华东,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
872,徐州市新沂市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,徐州市,江苏省,华东,
873,徐州市邳州市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,徐州市,江苏省,华东,
874,常州市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,常州市,江苏省,华东,
875,常州市天宁区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,常州市,江苏省,华东,
876,常州市钟楼区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,常州市,江苏省,华东,
877,常州市新北区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,常州市,江苏省,华东,
878,常州市武进区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,常州市,江苏省,华东,
879,常州市金坛区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,常州市,江苏省,华东,
880,常州市溧阳市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,常州市,江苏省,华东,
881,苏州市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,苏州市,江苏省,华东,
882,苏州市虎丘区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,苏州市,江苏省,华东,
883,苏州市吴中区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,苏州市,江苏省,华东,
884,苏州市相城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,苏州市,江苏省,华东,
885,苏州市姑苏区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,苏州市,江苏省,华东,
886,苏州市吴江区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,苏州市,江苏省,华东,
887,苏州市苏州工业园区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,苏州市,江苏省,华东,疑似功能区（含「工业园区」），通常无独立政协委员会，请核实
888,苏州市常熟市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,苏州市,江苏省,华东,
889,苏州市张家港市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,苏州市,江苏省,华东,
890,苏州市昆山市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,苏州市,江苏省,华东,
891,苏州市太仓市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,苏州市,江苏省,华东,
892,南通市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,南通市,江苏省,华东,
893,南通市通州区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南通市,江苏省,华东,
894,南通市崇川区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南通市,江苏省,华东,
895,南通市海门区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南通市,江苏省,华东,
896,南通市如东县政协,县级,县,县级,县,"县级政协,县政协",,南通市,江苏省,华东,
897,南通市南通经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,南通市,江苏省,华东,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
898,南通市启东市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,南通市,江苏省,华东,
899,南通市如皋市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,南通市,江苏省,华东,
900,南通市海安市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,南通市,江苏省,华东,
901,连云港市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,连云港市,江苏省,华东,
902,连云港市连云区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,连云港市,江苏省,华东,
903,连云港市海州区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,连云港市,江苏省,华东,
904,连云港市赣榆区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,连云港市,江苏省,华东,
905,连云港市东海县政协,县级,县,县级,县,"县级政协,县政协",,连云港市,江苏省,华东,
906,连云港市灌云县政协,县级,县,县级,县,"县级政协,县政协",,连云港市,江苏省,华东,
907,连云港市灌南县政协,县级,县,县级,县,"县级政协,县政协",,连云港市,江苏省,华东,
908,连云港市连云港经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,连云港市,江苏省,华东,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
909,淮安市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,淮安市,江苏省,华东,
910,淮安市淮安区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,淮安市,江苏省,华东,
911,淮安市淮阴区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,淮安市,江苏省,华东,
912,淮安市清江浦区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,淮安市,江苏省,华东,
913,淮安市洪泽区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,淮安市,江苏省,华东,
914,淮安市涟水县政协,县级,县,县级,县,"县级政协,县政协",,淮安市,江苏省,华东,
915,淮安市盱眙县政协,县级,县,县级,县,"县级政协,县政协",,淮安市,江苏省,华东,
916,淮安市金湖县政协,县级,县,县级,县,"县级政协,县政协",,淮安市,江苏省,华东,
917,淮安市淮安经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,淮安市,江苏省,华东,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
918,盐城市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,盐城市,江苏省,华东,
919,盐城市亭湖区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,盐城市,江苏省,华东,
920,盐城市盐都区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,盐城市,江苏省,华东,
921,盐城市大丰区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,盐城市,江苏省,华东,
922,盐城市响水县政协,县级,县,县级,县,"县级政协,县政协",,盐城市,江苏省,华东,
923,盐城市滨海县政协,县级,县,县级,县,"县级政协,县政协",,盐城市,江苏省,华东,
924,盐城市阜宁县政协,县级,县,县级,县,"县级政协,县政协",,盐城市,江苏省,华东,
925,盐城市射阳县政协,县级,县,县级,县,"县级政协,县政协",,盐城市,江苏省,华东,
926,盐城市建湖县政协,县级,县,县级,县,"县级政协,县政协",,盐城市,江苏省,华东,
927,盐城市盐城经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,盐城市,江苏省,华东,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
928,盐城市东台市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,盐城市,江苏省,华东,
929,扬州市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,扬州市,江苏省,华东,
930,扬州市广陵区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,扬州市,江苏省,华东,
931,扬州市邗江区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,扬州市,江苏省,华东,
932,扬州市江都区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,扬州市,江苏省,华东,
933,扬州市宝应县政协,县级,县,县级,县,"县级政协,县政协",,扬州市,江苏省,华东,
934,扬州市扬州经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,扬州市,江苏省,华东,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
935,扬州市仪征市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,扬州市,江苏省,华东,
936,扬州市高邮市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,扬州市,江苏省,华东,
937,镇江市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,镇江市,江苏省,华东,
938,镇江市京口区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,镇江市,江苏省,华东,
939,镇江市润州区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,镇江市,江苏省,华东,
940,镇江市丹徒区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,镇江市,江苏省,华东,
941,镇江市镇江新区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,镇江市,江苏省,华东,疑似功能区（含「新区」），通常无独立政协委员会，请核实
942,镇江市丹阳市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,镇江市,江苏省,华东,
943,镇江市扬中市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,镇江市,江苏省,华东,
944,镇江市句容市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,镇江市,江苏省,华东,
945,泰州市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,泰州市,江苏省,华东,
946,泰州市海陵区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,泰州市,江苏省,华东,
947,泰州市高港区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,泰州市,江苏省,华东,
948,泰州市姜堰区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,泰州市,江苏省,华东,
949,泰州市兴化市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,泰州市,江苏省,华东,
950,泰州市靖江市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,泰州市,江苏省,华东,
951,泰州市泰兴市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,泰州市,江苏省,华东,
952,宿迁市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,宿迁市,江苏省,华东,
953,宿迁市宿城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宿迁市,江苏省,华东,
954,宿迁市宿豫区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宿迁市,江苏省,华东,
955,宿迁市沭阳县政协,县级,县,县级,县,"县级政协,县政协",,宿迁市,江苏省,华东,
956,宿迁市泗阳县政协,县级,县,县级,县,"县级政协,县政协",,宿迁市,江苏省,华东,
957,宿迁市泗洪县政协,县级,县,县级,县,"县级政协,县政协",,宿迁市,江苏省,华东,
958,宿迁市宿迁经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宿迁市,江苏省,华东,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
959,浙江省政协,省级,省,省级,省,"省级政协,省政协",,,浙江省,华东,
960,杭州市政协,副省级,地级市,副省级,地级市,"副省级政协,地级市政协",省会城市、省会城市政协,杭州市,浙江省,华东,
961,杭州市上城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
962,杭州市拱墅区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
963,杭州市西湖区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
964,杭州市滨江区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
965,杭州市萧山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
966,杭州市余杭区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
967,杭州市富阳区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
968,杭州市临安区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
969,杭州市临平区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
970,杭州市钱塘区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,杭州市,浙江省,华东,
971,杭州市桐庐县政协,县级,县,县级,县,"县级政协,县政协",,杭州市,浙江省,华东,
972,杭州市淳安县政协,县级,县,县级,县,"县级政协,县政协",,杭州市,浙江省,华东,
973,杭州市建德市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,杭州市,浙江省,华东,
974,宁波市政协,副省级,地级市,副省级,地级市,"副省级政协,地级市政协",计划单列市、计划单列市政协,宁波市,浙江省,华东,
975,宁波市海曙区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宁波市,浙江省,华东,
976,宁波市江北区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宁波市,浙江省,华东,
977,宁波市北仑区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宁波市,浙江省,华东,
978,宁波市镇海区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宁波市,浙江省,华东,
979,宁波市鄞州区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宁波市,浙江省,华东,
980,宁波市奉化区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,宁波市,浙江省,华东,
981,宁波市象山县政协,县级,县,县级,县,"县级政协,县政协",,宁波市,浙江省,华东,
982,宁波市宁海县政协,县级,县,县级,县,"县级政协,县政协",,宁波市,浙江省,华东,
983,宁波市余姚市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,宁波市,浙江省,华东,
984,宁波市慈溪市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,宁波市,浙江省,华东,
985,温州市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,温州市,浙江省,华东,
986,温州市鹿城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,温州市,浙江省,华东,
987,温州市龙湾区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,温州市,浙江省,华东,
988,温州市瓯海区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,温州市,浙江省,华东,
989,温州市洞头区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,温州市,浙江省,华东,
990,温州市永嘉县政协,县级,县,县级,县,"县级政协,县政协",,温州市,浙江省,华东,
991,温州市平阳县政协,县级,县,县级,县,"县级政协,县政协",,温州市,浙江省,华东,
992,温州市苍南县政协,县级,县,县级,县,"县级政协,县政协",,温州市,浙江省,华东,
993,温州市文成县政协,县级,县,县级,县,"县级政协,县政协",,温州市,浙江省,华东,
994,温州市泰顺县政协,县级,县,县级,县,"县级政协,县政协",,温州市,浙江省,华东,
995,温州市瑞安市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,温州市,浙江省,华东,
996,温州市乐清市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,温州市,浙江省,华东,
997,温州市龙港市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,温州市,浙江省,华东,
998,嘉兴市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,嘉兴市,浙江省,华东,
999,嘉兴市南湖区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,嘉兴市,浙江省,华东,
1000,嘉兴市秀洲区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,嘉兴市,浙江省,华东,
1001,嘉兴市嘉善县政协,县级,县,县级,县,"县级政协,县政协",,嘉兴市,浙江省,华东,
1002,嘉兴市海盐县政协,县级,县,县级,县,"县级政协,县政协",,嘉兴市,浙江省,华东,
1003,嘉兴市海宁市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,嘉兴市,浙江省,华东,
1004,嘉兴市平湖市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,嘉兴市,浙江省,华东,
1005,嘉兴市桐乡市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,嘉兴市,浙江省,华东,
